source_path;target_path;status_code;is_active
shiny-500-8-10pr-ttf-c601-ekka.html;shiny-500-8-10pr-ttf-c601-ekka;301;1
shiny-600-9-10pr-ttf-c601-ekka.html;shiny-600-9-10pr-ttf-c601-ekka;301;1
shiny-27-10-12-250-75-12-24pr-ttf-c601-ekka.html;shiny-27-10-12-250-75-12-24pr-ttf-c601-ekka;301;1
shiny-28-9-15-815-15-14pr-ttf-c601-ekka.html;shiny-28-9-15-815-15-14pr-ttf-c601-ekka;301;1
shiny-650-10-12pr-ttf-c601-ekka.html;shiny-650-10-12pr-ttf-c601-ekka;301;1
shiny-825-15-14pr-ttf-c601-ekka.html;shiny-825-15-14pr-ttf-c601-ekka;301;1
13-500-6-2pr-tl-shina-pnevmaticheskaya-p336-ekka.html;13-500-6-2pr-tl-shina-pnevmaticheskaya-p336-ekka;301;1
13-500-6-4pr-tl-rim-35-shina-pnevmaticheskaya-ekka-p332.html;13-500-6-4pr-tl-rim-35-shina-pnevmaticheskaya-ekka-p332;301;1
145-70-6-2pr-tl-shina-pnevmaticheskaya-p319-ekka.html;145-70-6-2pr-tl-shina-pnevmaticheskaya-p319-ekka;301;1
145-70-6-4pr-tl-shina-pnevmaticheska-p361-ekka.html;145-70-6-4pr-tl-shina-pnevmaticheska-p361-ekka;301;1
15-600-6-4pr-tl-rim-450-shina-pnevmaticheskaya-ekka-p332.html;15-600-6-4pr-tl-rim-450-shina-pnevmaticheskaya-ekka-p332;301;1
16-650-8-2pr-tl-rim-5375-shina-pnevmaticheskaya-ekka-p508.html;16-650-8-2pr-tl-rim-5375-shina-pnevmaticheskaya-ekka-p508;301;1
16-650-8-4pr-tl-rim-5375-shina-pnevmaticheskaya-ekka-p332.html;16-650-8-4pr-tl-rim-5375-shina-pnevmaticheskaya-ekka-p332;301;1
16-800-7-4pr-tl-p319-ekka.html;16-800-7-4pr-tl-p319-ekka;301;1
16-800-7-4pr-tl-shina-pnevmaticheskaya-p329-ekka.html;16-800-7-4pr-tl-shina-pnevmaticheskaya-p329-ekka;301;1
16-800-7-4pr-tl-rim-65-shina-pnevmaticheskaya-ekka-p361.html;16-800-7-4pr-tl-rim-65-shina-pnevmaticheskaya-ekka-p361;301;1
18-850-8-4pr-tl-rim-70-shina-pnevmaticheskaya-ekka-p509.html;18-850-8-4pr-tl-rim-70-shina-pnevmaticheskaya-ekka-p509;301;1
18-950-8-4pr-tl-rim-70-shina-pnevmaticheskaya-ekka-p332.html;18-950-8-4pr-tl-rim-70-shina-pnevmaticheskaya-ekka-p332;301;1
18-950-8-4pr-tl-rim-70-shina-pnevmaticheskaya-ekka-p508.html;18-950-8-4pr-tl-rim-70-shina-pnevmaticheskaya-ekka-p508;301;1
19-700-8-4pr-tl-rim-55-shina-pnevmaticheskaya-ekka-p311.html;19-700-8-4pr-tl-rim-55-shina-pnevmaticheskaya-ekka-p311;301;1
19-950-8-4pr-tl-rim-70-shina-pnevmaticheskaya-ekka-p311.html;19-950-8-4pr-tl-rim-70-shina-pnevmaticheskaya-ekka-p311;301;1
20-1000-10-4pr-tl-rim-80-shina-pnevmaticheskaya-ekka-p361.html;20-1000-10-4pr-tl-rim-80-shina-pnevmaticheskaya-ekka-p361;301;1
20-1000-8-4pr-tl-rim-80-shina-pnevmaticheskaya-ekka-p332.html;20-1000-8-4pr-tl-rim-80-shina-pnevmaticheskaya-ekka-p332;301;1
20-1000-9-4pr-tl-rim-80-shina-pnevmaticheskaya-ekka-p354.html;20-1000-9-4pr-tl-rim-80-shina-pnevmaticheskaya-ekka-p354;301;1
20-1000-9-4pr-tl-shina-pnevmaticheskaya-p357-ekka.html;20-1000-9-4pr-tl-shina-pnevmaticheskaya-p357-ekka;301;1
20-1100-9-4pr-tl-shina-pnevmaticheskaya-p357-ekka.html;20-1100-9-4pr-tl-shina-pnevmaticheskaya-p357-ekka;301;1
20-700-8-2pr-tl-shina-pnevmaticheskaya-p322-ekka.html;20-700-8-2pr-tl-shina-pnevmaticheskaya-p322-ekka;301;1
205-50-10-4pr-tl-rim-65-shina-pnevmaticheskaya-ekka-p823.html;205-50-10-4pr-tl-rim-65-shina-pnevmaticheskaya-ekka-p823;301;1
21-1200-8-2pr-tl-rim-95-shina-pnevmaticheskaya-ekka-p325.html;21-1200-8-2pr-tl-rim-95-shina-pnevmaticheskaya-ekka-p325;301;1
21-700-10-4pr-tl-shina-pnevmaticheskaya-p348-ekka.html;21-700-10-4pr-tl-shina-pnevmaticheskaya-p348-ekka;301;1
21-700-10-4pr-tl-rim-55-shina-pnevmaticheskaya-ekka-p354.html;21-700-10-4pr-tl-rim-55-shina-pnevmaticheskaya-ekka-p354;301;1
21-700-10-4pr-tl-rim-55-shina-pnevmaticheskaya-ekka-p361.html;21-700-10-4pr-tl-rim-55-shina-pnevmaticheskaya-ekka-p361;301;1
22-1000-10-4pr-tl-rim-80-shina-pnevmaticheskaya-ekka-p306.html;22-1000-10-4pr-tl-rim-80-shina-pnevmaticheskaya-ekka-p306;301;1
22-1000-10-4pr-tl-shina-pnevmaticheskaya-p357-ekka.html;22-1000-10-4pr-tl-shina-pnevmaticheskaya-p357-ekka;301;1
22-1100-9-4pr-tl-shina-pnevmaticheskaya-p357-ekka.html;22-1100-9-4pr-tl-shina-pnevmaticheskaya-p357-ekka;301;1
22-700-10-4pr-tl-rim-55-shina-pnevmaticheskaya-ekka-p306.html;22-700-10-4pr-tl-rim-55-shina-pnevmaticheskaya-ekka-p306;301;1
22-700-12-6pr-tl-shina-pnevmaticheskaya-p3501-ekka.html;22-700-12-6pr-tl-shina-pnevmaticheskaya-p3501-ekka;301;1
23-700-10-4pr-tl-shina-pnevmaticheskaya-p348-ekka.html;23-700-10-4pr-tl-shina-pnevmaticheskaya-p348-ekka;301;1
25-1000-12-4pr-tl-shina-pnevmaticheskaya-p341-ekka.html;25-1000-12-4pr-tl-shina-pnevmaticheskaya-p341-ekka;301;1
25-1000-12-4pr-tl-shina-pnevmaticheskaya-p377-ekka.html;25-1000-12-4pr-tl-shina-pnevmaticheskaya-p377-ekka;301;1
